Voyelle	F1	F2	F3	Duree
A	584.6112245	1090.818291	2570.1412	378
A	576.207335	976.165499	2838.795885	295
a	775.871131	1553.012188	2572.031209	114
a	900.847711	1469.947719	2394.671002	117
a	871.0061725	1524.486511	2614.299345	100
a	843.128702	1584.519506	2599.335903	117
a	709.451199	1451.859084	2349.348979	108
a	790.488281	1378.391091	2475.823112	175
a	723.091664	1588.911168	2688.593805	170
a	576.980981	1563.492259	2240.443978	133
a	884.1570545	1479.590417	2728.490268	63
A	612.750731	1009.183069	2581.383139	153
A	684.9903395	1057.189284	2403.311861	186
A	773.5623245	1167.955575	2772.464279	211
A	702.37189	1245.850537	2942.846126	199
A	603.6300985	1056.678919	2648.959705	198
A	651.136861	997.671796	2642.564657	267
A	671.188037	1093.821881	2783.000703	306
A	634.712605	1151.232599	2541.369155	283
A	586.189127	973.103752	2919.509038	183
a	759.428628	1529.510378	2576.008098	95
a	846.359928	1564.521798	2481.145609	123
a	760.030194	1299.491308	2430.8687	128
a	840.559095	1618.455049	2801.555665	138
a	757.991297	1456.695649	2345.974519	116
a	775.690115	1457.423242	2713.168429	132
a	650.746037	1591.75874	2760.650471	181
a	580.103346	1562.396306	2280.212243	131
a	869.834456	1643.657579	2616.428222	69
A	639.2508845	1059.518442	2717.06062	184
A	633.415898	1104.210954	2486.664262	282
A	752.2280775	1273.51376	2514.459732	239
A	719.156251	1285.036129	2865.20058	256
A	642.317951	1111.439362	2560.299986	202
A	630.618894	1075.013727	2668.026639	259
A	562.051256	1139.653142	2821.580974	366
A	633.556645	1059.020465	2609.742282	271
A	593.981184	981.9800695	2874.740728	200
A	649.473532	1044.772892	2704.363531	182
A	652.819793	1040.329235	2358.199767	301
A	608.9666375	1088.916016	2651.839805	242
A	700.165241	1292.153522	2933.222863	215
A	661.034281	1052.030588	2636.288627	157
A	557.016454	952.077873	2860.32379	320
A	579.2099715	1087.388314	2983.499425	377
A	609.2851865	1046.481668	2542.196387	276
A	627.083471	974.864608	2820.129835	197
a	713.9852715	1520.596993	2583.979249	128
a	910.798374	1465.845626	2366.112389	122
a	788.33763	1324.108287	2263.414906	108
a	758.2141995	1605.56272	2653.873091	129
a	798.867924	1486.952792	2438.662164	130
a	895.7262655	1398.254941	2686.642799	145
a	639.301794	1571.661839	2917.698192	220
a	504.701795	1539.743812	2183.073494	146
a	838.4040205	1498.168975	2702.132511	86
a	772.7554645	1573.508597	2425.891679	137
a	939.4707845	1598.704904	2583.921917	134
a	754.516478	1360.559342	2280.509654	117
a	906.013353	1600.427754	2783.325778	124
a	720.89857	1505.157376	2372.345792	80
a	810.564637	1369.464659	2472.668644	191
a	641.365487	1578.891403	2597.471675	136
a	547.716044	1629.857862	2222.02015	144
a	796.566803	1516.527162	2516.863461	94
A	643.9952555	1125.980655	2474.130479	164
A	678.096891	1092.056489	2457.483166	236
A	666.203224	1096.017979	2362.223778	274
A	728.833388	1279.012709	2853.845885	206
A	603.803433	1018.424477	2629.818617	206
A	655.867668	993.726099	2614.127277	278
A	564.47775	1040.172527	2847.153436	301
A	615.803352	1056.333921	2575.782216	250
A	583.720384	1001.210919	2795.293027	212
A	607.1303135	1057.903796	2501.90301	187
A	659.673524	1087.753603	2612.890263	227
A	723.488131	1119.305687	2823.810612	293
A	684.681768	1255.436836	2868.10142	213
A	624.553287	1039.935106	2667.578554	184
A	630.581183	989.042131	2589.526665	293
A	625.95066	1065.913887	2908.648886	320
A	638.3068065	1210.585498	2733.982254	268
A	565.037485	1003.243644	2864.198209	182
a	713.755932	1470.848395	2360.009904	104
a	953.309462	1496.770564	2541.936678	146
a	736.6939375	1355.222446	2298.487492	127
a	865.769647	1614.781165	2830.145142	137
a	759.9676845	1498.97957	2404.376684	97
a	814.240306	1378.932221	2553.426941	165
a	819.092424	1551.937883	2629.568541	169
a	546.717069	1535.421958	2303.680742	155
a	847.461	1495.470458	2745.837513	79
A	633.2966045	1124.780718	2419.212939	183
A	682.854582	1153.327953	2467.858392	231
A	738.9922915	1205.682953	2369.081789	261
A	735.398584	1310.398031	2839.990905	255
A	589.038778	1097.568411	2546.428946	231
A	648.23232	1074.851227	2645.820396	260
A	657.3100145	1082.418727	2899.986173	273
A	621.135364	1092.066144	2573.898233	299
A	595.184251	1062.105004	2841.545509	169
a	670.744653	1518.782197	2388.738493	112
a	902.455424	1545.800888	2499.530162	118
a	736.4768465	1334.754982	2341.565751	150
a	790.8388665	1629.555571	2673.853221	123
a	688.25802	1451.842036	2355.690155	172
a	777.282842	1432.991445	2609.162401	154
a	603.993277	1637.849407	2682.773477	130
a	608.578717	1673.791493	2474.661265	145
a	803.355244	1449.051993	2763.317292	92
I	290.583124	2186.107615	2812.613202	242
I	265.701817	2340.293681	3072.929277	256
I	280.406492	2312.028909	3031.664832	330
I	347.456197	2355.455146	2864.759076	267
I	272.590619	2215.503706	2949.113844	230
I	274.49093	2257.778015	3217.418421	329
I	277.166384	2380.856815	3021.124325	336
I	308.587271	2172.304395	2719.719757	342
I	262.8185635	2062.41227	2898.799576	338
I	314.164857	2152.050408	2811.844137	152
I	295.042879	2337.10164	3160.97138	154
I	271.6491945	2341.047844	3103.878618	176
I	376.225294	2271.690254	2769.628105	194
I	287.185808	2070.896329	2820.566444	152
I	279.853148	2242.110168	3116.680706	194
I	290.074742	2345.795368	3073.582367	140
I	347.0243785	2040.178576	2295.527549	186
I	290.319981	2045.755247	2830.192045	129
I	287.459527	2246.241664	3010.865368	206
I	303.612944	2339.209702	3178.751946	250
I	298.432997	2381.120069	3161.603161	214
I	419.238522	2081.637138	2688.7198	228
I	310.6413385	2234.555453	2704.315099	251
I	297.732735	2131.396788	2988.642741	292
I	341.363744	2482.947946	3154.03972	275
I	369.505339	2233.353818	2807.268458	211
I	274.3551455	2141.639349	2866.835722	227
I	265.080763	2212.136396	3176.504439	132
I	268.182891	2330.318166	3147.742624	173
I	282.5728925	2356.374539	3059.646608	150
I	352.389855	2264.57076	2856.16417	183
I	344.2194195	2116.080788	2775.911131	182
I	273.888834	2169.845696	3083.9607	212
I	273.119022	2482.942627	3537.894002	273
I	314.2769925	2159.000606	3096.703661	213
I	263.541406	2095.633103	2881.609249	128
i	446.704845	2023.656902	2804.990112	155
i	391.573101	2203.113534	2812.232293	147
i	404.9343665	1902.169032	2340.336833	162
i	395.242572	2246.795539	2960.782123	166
i	397.875455	2003.692254	2492.937907	167
i	372.615115	1872.375581	2831.501829	207
i	332.205041	2049.691129	2890.207569	167
i	382.295781	1812.745895	2554.958572	161
i	390.625657	1870.034048	2502.649178	122
i	442.155756	1981.315309	2549.686078	124
i	443.064915	2221.736892	2931.19132	104
i	443.0368765	2016.039465	2366.455743	147
i	482.7740385	2156.271116	2831.084272	125
i	436.978127	1861.29509	2509.763406	117
i	508.065157	2073.424656	2977.65778	167
i	381.716996	2093.935583	2895.767825	129
i	410.7007775	1877.361249	2262.716695	112
