Voyelle	F1	F2	F3	Duree
a	899.799318	1534.441306	2754.616907	177
a	771.8884995	1798.916794	2824.519815	167
A	809.981748	1284.638542	3096.595292	206
A	733.676004	1070.688182	3074.108875	242
A	848.845548	1469.56019	2929.849298	180
A	652.328011	1304.5283	2895.597649	222
A	759.974168	1259.978898	3057.779725	305
A	782.975793	1239.894741	2943.573847	261
A	824.144528	1201.998668	3432.082323	238
A	702.017693	1197.252699	3112.936139	241
A	749.526719	1190.538852	2936.164834	352
A	746.320075	1256.356376	1441.826309	196
A	733.6025645	1138.508885	3076.795913	279
A	857.7827365	1405.438425	2989.797994	173
A	718.083492	1275.945697	2988.002918	304
A	806.0031235	1235.193794	3035.157969	277
A	772.229366	1183.495561	2906.020799	281
A	835.088998	1221.269064	3435.067853	190
A	718.507881	1135.640742	2939.970713	230
A	724.236048	1067.57786	3007.420845	303
a	951.265429	1601.4274	2792.547932	88
a	1067.144408	1386.895806	2800.16505	122
a	1060.178628	1675.322472	2785.065189	98
a	1096.354431	1675.676559	3213.932887	142
a	1102.395634	1653.3645	2980.865539	120
a	1022.428726	1744.371011	2823.50828	121
a	1269.286682	1822.380868	3297.458319	60
a	904.677957	1429.538672	2618.57464	126
a	880.044809	1717.334719	2880.402111	105
A	778.8841195	1300.797943	3033.682716	203
A	719.78913	1138.490731	3193.504701	227
A	850.8826955	1458.215221	2814.291327	176
A	778.890517	1298.508883	2852.121721	253
A	803.398348	1240.680194	3156.702014	305
A	788.037467	1332.712189	2874.868658	264
A	821.724665	1290.174484	3306.523788	211
A	696.754373	1132.96521	3010.185958	213
A	659.5132985	1172.705424	2959.113682	302
a	920.1515475	1720.064758	2722.3493	110
a	1070.17185	1487.877881	2906.996157	100
a	1057.229338	1762.60218	2766.202145	101
a	1110.668811	1636.923047	3162.106715	144
a	1220.785085	1666.844721	2868.522092	136
a	1078.763528	1749.445518	2819.69581	125
a	1107.428693	1815.085504	2969.130615	83
a	926.308358	1517.558586	2914.872504	131
a	909.252875	1755.866928	2734.737884	129
I	352.315285	2673.659098	3191.842698	220
I	344.870465	2901.842245	3731.010516	316
I	435.0690005	2851.948453	3343.441297	234
I	437.9528695	2675.150144	3196.495234	289
I	399.0118195	2936.524728	3545.935102	321
I	397.2137735	2782.006877	3328.773005	340
I	372.1649535	2849.708449	3743.663055	321
I	392.8332745	2749.858068	3198.030083	200
I	313.997413	2593.423553	3584.590158	418
I	343.3529315	2727.007016	3262.219389	121
I	352.755104	2794.277003	3553.520575	206
I	377.944747	2840.955465	3431.249374	219
I	368.3625785	2706.679312	3276.515247	152
I	413.222205	2995.904508	3471.299884	161
I	442.917184	2873.535501	3416.589543	192
I	391.488368	3066.248296	3928.995357	139
I	390.264821	2778.030417	3370.002133	160
I	343.590623	2627.27343	3606.235974	224
I	396.347612	3019.359379	3971.160421	236
I	382.5615045	2935.850433	3359.990458	239
I	418.378683	2995.963239	3480.514194	207
I	405.82075	2673.385428	3196.56124	194
I	441.891409	2901.713433	3372.253522	339
I	422.109021	2869.154746	3245.506198	295
I	381.191578	2968.480435	3831.125984	247
I	428.297203	2704.057545	3194.164385	223
I	314.783231	2776.653158	3778.707476	351
I	349.23181	2656.646192	3190.672573	158
I	374.8467275	2960.665941	3852.361286	187
I	441.683402	2911.238766	3365.684051	166
I	388.211193	2628.772569	3114.23912	205
I	406.175069	2950.871761	3590.191522	130
I	422.676918	2974.689839	3423.573459	176
I	393.9710625	2986.888738	3789.069446	139
I	358.854744	2801.668804	3218.49958	149
I	312.446048	2819.607254	3842.155636	254
i	482.20878	2094.439829	3114.488549	135
i	520.08959	2344.723597	3233.648921	170
i	591.250395	2439.303866	3119.459027	145
i	566.367369	2146.242026	3270.423608	141
